date,open,high,low,close,value
2017/4/27,1281.88 ,1319.70 ,1281.30 ,1317.73 ,21475836448 
2017/4/28,1317.74 ,1331.28 ,1292.37 ,1316.48 ,21457669552 
2017/4/29,1317.84 ,1327.20 ,1315.21 ,1321.79 ,21547126640 
2017/4/30,1321.87 ,1347.91 ,1314.92 ,1347.89 ,21975104909 
2017/5/1,1348.30 ,1434.32 ,1348.30 ,1421.60 ,23179524919 
2017/5/2,1421.03 ,1473.90 ,1415.69 ,1452.82 ,23691443738 
2017/5/3,1453.78 ,1492.77 ,1447.49 ,1490.09 ,24301634925 
2017/5/4,1490.72 ,1608.91 ,1490.72 ,1537.67 ,25080858487 
2017/5/5,1540.87 ,1618.03 ,1530.31 ,1555.45 ,25373374563 
2017/5/6,1556.81 ,1578.80 ,1542.50 ,1578.80 ,25757608890 
2017/5/7,1579.47 ,1596.72 ,1559.76 ,1596.71 ,26053077975 
2017/5/8,1596.92 ,1723.35 ,1596.92 ,1723.35 ,28123369330 
2017/5/9,1723.89 ,1833.49 ,1716.30 ,1755.36 ,28649119972 
2017/5/10,1756.52 ,1788.44 ,1719.10 ,1787.13 ,29170965564 
2017/5/11,1780.37 ,1873.93 ,1755.35 ,1848.57 ,30176934751 
2017/5/12,1845.76 ,1856.15 ,1694.01 ,1724.24 ,28150631936 
2017/5/13,1723.12 ,1812.99 ,1651.08 ,1804.91 ,29471223857 
2017/5/14,1800.86 ,1831.42 ,1776.62 ,1808.91 ,29540290794 
2017/5/15,1808.44 ,1812.80 ,1708.54 ,1738.43 ,28392885375 
2017/5/16,1741.70 ,1785.94 ,1686.54 ,1734.45 ,28330874003 
2017/5/17,1726.73 ,1864.05 ,1661.91 ,1839.09 ,30043626195 
2017/5/18,1818.70 ,1904.48 ,1807.12 ,1888.65 ,30856574835 
2017/5/19,1897.37 ,2004.52 ,1890.25 ,1987.71 ,32479082015 
2017/5/20,1984.24 ,2084.73 ,1974.92 ,2084.73 ,34068630559 
2017/5/21,2067.03 ,2119.08 ,2037.50 ,2041.20 ,33361091114 
2017/5/22,2043.19 ,2303.90 ,2017.87 ,2173.40 ,35525744380 
2017/5/23,2191.56 ,2320.82 ,2178.50 ,2320.42 ,37933704066 
2017/5/24,2321.37 ,2523.72 ,2321.37 ,2443.64 ,39952841999 
2017/5/25,2446.24 ,2763.71 ,2285.30 ,2304.98 ,37690456715 
2017/5/26,2320.89 ,2573.79 ,2071.99 ,2202.42 ,36017660894 
2017/5/27,2196.27 ,2260.20 ,1855.83 ,2038.87 ,33347170525 
2017/5/28,2054.08 ,2267.34 ,2054.08 ,2155.80 ,35264171110 
2017/5/29,2159.43 ,2307.05 ,2107.17 ,2255.61 ,36901102917 
2017/5/30,2255.36 ,2301.96 ,2124.57 ,2175.47 ,35594903085 
2017/5/31,2187.19 ,2311.08 ,2145.57 ,2286.41 ,37414813240 
2017/6/1,2288.33 ,2448.39 ,2288.33 ,2407.88 ,39407633763 
2017/6/2,2404.03 ,2488.55 ,2373.32 ,2488.55 ,40732491835 
2017/6/3,2493.72 ,2581.91 ,2423.57 ,2515.35 ,41177190057 
2017/6/4,2547.79 ,2585.89 ,2452.54 ,2511.81 ,41124262595 
2017/6/5,2512.40 ,2686.81 ,2510.22 ,2686.81 ,43994968834 
2017/6/6,2690.84 ,2999.91 ,2690.84 ,2863.20 ,46888622160 
2017/6/7,2869.38 ,2869.38 ,2700.56 ,2732.16 ,44748237218 
2017/6/8,2720.49 ,2815.30 ,2670.95 ,2805.62 ,45957247989 
2017/6/9,2807.44 ,2901.71 ,2795.62 ,2823.81 ,46260465854 
2017/6/10,2828.14 ,2950.99 ,2746.55 ,2947.71 ,48295501718 
2017/6/11,2942.41 ,2996.60 ,2840.53 ,2958.11 ,48471330146 
2017/6/12,2953.22 ,2997.26 ,2518.56 ,2659.63 ,43585351533 
2017/6/13,2680.91 ,2789.04 ,2650.38 ,2717.02 ,44530631894 
2017/6/14,2716.88 ,2786.83 ,2412.94 ,2506.37 ,41082567339 
2017/6/15,2499.58 ,2534.71 ,2212.96 ,2464.58 ,40402259202 
2017/6/16,2469.57 ,2539.92 ,2385.15 ,2518.56 ,41291821423 
2017/6/17,2514.01 ,2685.19 ,2484.96 ,2655.88 ,43548031452 
2017/6/18,2655.35 ,2662.10 ,2516.33 ,2548.29 ,41788418974 
2017/6/19,2549.03 ,2662.85 ,2549.03 ,2589.60 ,42470734800 
2017/6/20,2591.26 ,2763.45 ,2589.82 ,2721.79 ,44643512689 
2017/6/21,2709.43 ,2772.01 ,2660.40 ,2689.10 ,44111929173 
2017/6/22,2691.03 ,2723.74 ,2642.36 ,2705.41 ,44384244937 
2017/6/23,2707.34 ,2765.17 ,2706.37 ,2744.91 ,45037797053 
2017/6/24,2738.52 ,2757.94 ,2583.19 ,2608.72 ,42807952581 
2017/6/25,2607.25 ,2682.26 ,2552.12 ,2589.41 ,42495001716 
2017/6/26,2590.57 ,2615.25 ,2376.29 ,2478.45 ,40677994354 
2017/6/27,2478.45 ,2552.45 ,2332.99 ,2552.45 ,41897190525 
2017/6/28,2553.03 ,2603.98 ,2484.42 ,2574.79 ,42268942193 
2017/6/29,2567.56 ,2588.83 ,2510.48 ,2539.32 ,41690395783 
2017/6/30,2539.24 ,2559.25 ,2478.43 ,2480.84 ,40735082695 
2017/7/1,2492.60 ,2515.27 ,2419.23 ,2434.55 ,39980058373 
2017/7/2,2436.40 ,2514.28 ,2394.84 ,2506.47 ,41167015221 
2017/7/3,2498.56 ,2595.00 ,2480.47 ,2564.06 ,42118211083 
2017/7/4,2561.00 ,2631.59 ,2559.35 ,2601.64 ,42740618673 
2017/7/5,2602.87 ,2622.65 ,2538.55 ,2601.99 ,42751085999 
2017/7/6,2608.10 ,2616.72 ,2581.69 ,2608.56 ,42863758795 
2017/7/7,2608.59 ,2916.14 ,2498.87 ,2518.66 ,41391217675 
2017/7/8,2520.27 ,2571.34 ,2492.31 ,2571.34 ,42262222823 
2017/7/9,2572.61 ,2635.49 ,2517.59 ,2518.44 ,41397076604 
2017/7/10,2525.25 ,2537.16 ,2321.13 ,2372.56 ,39005033499 
2017/7/11,2385.89 ,2413.47 ,2296.81 ,2337.79 ,38438497236 
2017/7/12,2332.77 ,2423.71 ,2275.14 ,2398.84 ,39447604438 
2017/7/13,2402.70 ,2425.22 ,2340.83 ,2357.90 ,38778935907 
2017/7/14,2360.59 ,2363.25 ,2183.22 ,2233.34 ,36734255488 
2017/7/15,2230.12 ,2231.14 ,1990.41 ,1998.86 ,32880721300 
2017/7/16,1991.98 ,2058.77 ,1843.03 ,1929.82 ,31748939343 
2017/7/17,1932.62 ,2230.49 ,1932.62 ,2228.41 ,36665393517 
2017/7/18,2233.52 ,2387.61 ,2164.77 ,2318.88 ,38158677672 
2017/7/19,2323.08 ,2397.17 ,2260.23 ,2273.43 ,37415031061 
2017/7/20,2269.89 ,2900.70 ,2269.89 ,2817.60 ,46376428080 
2017/7/21,2838.41 ,2838.41 ,2621.85 ,2667.76 ,43915296559 
2017/7/22,2668.63 ,2862.42 ,2657.71 ,2810.12 ,46264340367 
2017/7/23,2808.10 ,2832.18 ,2653.94 ,2730.40 ,44957775265 
2017/7/24,2732.70 ,2777.26 ,2699.19 ,2754.86 ,45366654309 
2017/7/25,2757.50 ,2768.08 ,2480.96 ,2576.48 ,42433788244 
2017/7/26,2577.77 ,2610.76 ,2450.80 ,2529.45 ,41663929265 
2017/7/27,2538.71 ,2693.32 ,2529.34 ,2671.78 ,44013533097 
2017/7/28,2679.73 ,2897.45 ,2679.73 ,2809.01 ,46279316161 
2017/7/29,2807.02 ,2808.76 ,2692.80 ,2726.45 ,44924534585 
2017/7/30,2724.39 ,2758.53 ,2644.85 ,2757.18 ,45435913868 
2017/7/31,2763.24 ,2889.62 ,2720.61 ,2875.34 ,47388334773 
2017/8/1,2871.30 ,2921.35 ,2685.61 ,2718.26 ,44804603885 
2017/8/2,2727.13 ,2762.53 ,2668.59 ,2710.67 ,44684649516 
2017/8/3,2709.56 ,2813.31 ,2685.14 ,2804.73 ,46239970790 
2017/8/4,2806.93 ,2899.33 ,2743.72 ,2895.89 ,47749461443 
2017/8/5,2897.63 ,3290.01 ,2874.83 ,3252.91 ,53643452554 
2017/8/6,3257.61 ,3293.29 ,3155.60 ,3213.94 ,53006426108 
2017/8/7,3212.78 ,3397.68 ,3180.89 ,3378.94 ,55734179251 
2017/8/8,3370.22 ,3484.85 ,3345.83 ,3419.94 ,56417337745 
2017/8/9,3420.40 ,3422.76 ,3247.67 ,3342.47 ,55145196472 
2017/8/10,3341.84 ,3453.45 ,3319.47 ,3381.28 ,55791120000 
2017/8/11,3373.82 ,3679.72 ,3372.12 ,3650.62 ,60241844923 
2017/8/12,3650.63 ,3949.92 ,3613.70 ,3884.71 ,64111163866 
2017/8/13,3880.04 ,4208.39 ,3857.80 ,4073.26 ,67230528989 
2017/8/14,4066.10 ,4325.13 ,3989.16 ,4325.13 ,71394704654 
2017/8/15,4326.99 ,4455.97 ,3906.18 ,4181.93 ,69038855081 
2017/8/16,4200.34 ,4381.23 ,3994.42 ,4376.63 ,72260183303 
2017/8/17,4384.44 ,4484.70 ,4243.71 ,4331.69 ,71527949443 
2017/8/18,4324.34 ,4370.13 ,4015.40 ,4160.62 ,68710871037 
2017/8/19,4137.75 ,4243.26 ,3970.55 ,4193.70 ,69265141208 
2017/8/20,4189.31 ,4196.29 ,4069.88 ,4087.66 ,67520478838 
2017/8/21,4090.48 ,4109.14 ,3988.60 ,4001.74 ,66106992038 
2017/8/22,3998.35 ,4128.76 ,3674.58 ,4100.52 ,67743202431 
2017/8/23,4089.01 ,4255.78 ,4078.41 ,4151.52 ,68593954170 
2017/8/24,4137.60 ,4376.39 ,4130.26 ,4334.68 ,71625870868 
2017/8/25,4332.82 ,4455.70 ,4307.35 ,4371.60 ,72241507489 
2017/8/26,4372.06 ,4379.28 ,4269.52 ,4352.40 ,71929882019 
2017/8/27,4345.10 ,4416.59 ,4317.29 ,4382.88 ,72441993792 
2017/8/28,4384.45 ,4403.93 ,4224.64 ,4382.66 ,72445588933 
2017/8/29,4389.21 ,4625.68 ,4352.13 ,4579.02 ,75699786263 
2017/8/30,4570.36 ,4626.52 ,4471.41 ,4565.30 ,75482724984 
2017/8/31,4555.59 ,4736.05 ,4549.40 ,4703.39 ,77775374625 
2017/9/1,4701.76 ,4892.01 ,4678.53 ,4892.01 ,80905039782 
2017/9/2,4901.42 ,4975.04 ,4469.24 ,4578.77 ,75734114962 
2017/9/3,4585.27 ,4714.08 ,4417.59 ,4582.96 ,75812181334 
2017/9/4,4591.63 ,4591.63 ,4108.40 ,4236.31 ,70087101256 
2017/9/5,4228.29 ,4427.84 ,3998.11 ,4376.53 ,72417728536 
2017/9/6,4376.59 ,4617.25 ,4376.59 ,4597.12 ,76077049312 
2017/9/7,4589.14 ,4655.04 ,4491.33 ,4599.88 ,76132843874 
2017/9/8,4605.16 ,4661.00 ,4075.18 ,4228.75 ,69999555938 
2017/9/9,4229.81 ,4308.82 ,4114.11 ,4226.06 ,69963847482 
2017/9/10,4229.34 ,4245.44 ,3951.04 ,4122.94 ,68263826801 
2017/9/11,4122.47 ,4261.67 ,4099.40 ,4161.27 ,68907352119 
2017/9/12,4168.88 ,4344.65 ,4085.22 ,4130.81 ,68412822896 
2017/9/13,4131.98 ,4131.98 ,3789.92 ,3882.59 ,64311123695 
2017/9/14,3875.37 ,3920.60 ,3153.86 ,3154.95 ,52265453816 
2017/9/15,3166.30 ,3733.45 ,2946.62 ,3637.52 ,60267886368 
2017/9/16,3637.75 ,3808.84 ,3487.79 ,3625.04 ,60068678195 
2017/9/17,3606.28 ,3664.81 ,3445.64 ,3582.88 ,59377995376 
2017/9/18,3591.09 ,4079.23 ,3591.09 ,4065.20 ,67377945990 
2017/9/19,4073.79 ,4094.07 ,3868.87 ,3924.97 ,65061185838 
2017/9/20,3916.36 ,4031.39 ,3857.73 ,3905.95 ,64751811835 
2017/9/21,3901.47 ,3916.42 ,3613.63 ,3631.04 ,60202370872 
2017/9/22,3628.02 ,3758.27 ,3553.53 ,3630.70 ,60203040223 
2017/9/23,3629.92 ,3819.21 ,3594.58 ,3792.40 ,62892069389 
2017/9/24,3796.15 ,3796.15 ,3666.90 ,3682.84 ,61081971156 
2017/9/25,3681.58 ,3950.25 ,3681.58 ,3926.07 ,65122213849 
2017/9/26,3928.41 ,3969.89 ,3869.90 ,3892.35 ,64569365079 
2017/9/27,3892.94 ,4210.05 ,3884.82 ,4200.67 ,69691950752 
2017/9/28,4197.13 ,4279.31 ,4109.70 ,4174.73 ,69270823146 
2017/9/29,4171.62 ,4214.63 ,4039.29 ,4163.07 ,69086146650 
2017/9/30,4166.11 ,4358.43 ,4160.86 ,4338.71 ,72008428789 
2017/10/1,4341.05 ,4403.74 ,4269.81 ,4403.74 ,73094870674 
2017/10/2,4395.81 ,4470.23 ,4377.46 ,4409.32 ,73195646776 
2017/10/3,4408.46 ,4432.47 ,4258.89 ,4317.48 ,71681069637 
2017/10/4,4319.37 ,4352.31 ,4210.42 ,4229.36 ,70225033578 
2017/10/5,4229.88 ,4362.64 ,4164.05 ,4328.41 ,71876277937 
2017/10/6,4324.46 ,4413.27 ,4320.53 ,4370.81 ,72589262957 
2017/10/7,4369.35 ,4443.88 ,4321.05 ,4426.89 ,73529314833 
2017/10/8,4429.67 ,4624.14 ,4405.64 ,4610.48 ,76589293760 
2017/10/9,4614.52 ,4878.71 ,4564.25 ,4772.02 ,79282158943 
